# generated by testdata/gen -- do not edit; run `make testdata`
# id	outcome	result	a
000001	ok	00000000,00000000,00000000,00000000	0
000002	ok	00000000,00000000,00000000,00000000	-0
000003	ok	00000001,00000000,00000000,00000000	1
000004	ok	00000001,00000000,00000000,80000000	-1
000005	ok	00000001,00000000,00000000,00010000	0.1
000006	ok	00000001,00000000,00000000,80010000	-0.1
000007	ok	00000005,00000000,00000000,00010000	0.5
000008	ok	00000019,00000000,00000000,00010000	2.5
000009	ok	00000001,00000000,00000000,001c0000	1E-28
000010	ok	10000000,3e250261,204fce5e,00000000	1E+28
000011	overflow	-	1.7976931348623157E+308
000012	overflow	-	-1.7976931348623157E+308
000013	ok	00000000,00000000,00000000,00000000	5E-324
000014	ok	00000000,00000000,00000000,00000000	-5E-324
000015	overflow	-	NaN
000016	overflow	-	Infinity
000017	overflow	-	-Infinity
000018	overflow	-	7.922816251426434E+28
000019	overflow	-	7.922816251426434E+28
000020	overflow	-	1E+29
000021	overflow	-	-1E+29
000022	ok	00000000,00000000,00000000,00000000	1E-29
000023	ok	860f9181,00007048,00000000,00060000	123456789.12345679
000024	ok	e76a2483,00011db9,00000000,000e0000	3.14159265358979
000025	overflow	-	3.4028234663852886E+38
000026	overflow	-	-3.4028234663852886E+38
000027	ok	00000000,00000000,00000000,00000000	1.401298464324817E-45
